"Patia, El Carmelito, San Pedro, Potrerillo, Miraflores, Piedra de Moler, La Ventica "
"La Florida, Chondural "
"Méndez, Aguas Frías, El Tuno, El Pendal, Las Chulas, Guadualito  "
"El Estrecho, El Cabuyo, La Marcela, La Manguita, Los Cajones  "
"Galindez , palo verde "
"El puro, el juncal, manga falsa , la chorrera "
"Angulo , el rincón "
Las tallas
"Pan de azúcar , puerto rico"
"Santacruz, el pedregal, el jardín, la esperanza, las palmas, la despensa, la aguada "
"El placer, el mirador, floraria, san vicente, Betania , alto bonito "
"Santa rosa baja, alto rio sajandi, santa rosa alta, el cucho, tamboral, el porvenir, remolino, la paramilla , yarumal"
"La mesa, el cilindro, el crucero, la floresta , la colorada"
"Quebrada oscura, el limonar, la planada, villa nueva, Pitalito, el trébol "
"Bello horizonte, el convenio "
"Brisas, Altamira, guaico, buena vista, la cristalina, hueco lindo, las perlas, belen"
"Don Alonso, el hatico, el zarzal, tuya es Colombia "
"La fonda, alto bonito, sajandi,  peña roja"
"El hoyo, quintero, saladito, el pedrero"
"Piedra sentada, la laguna, la paulina, reyes, corrales"
"Sachamates , tabloncito"
"Guayabal, guasimo"
"Versalles ,el guanabano"
"El arbolito, la teja, palomocho, piedra rica, chupadero, guasimal, el estanquillo, plan bonito "
